Judge Name,Year,In Minority Ratio
Tony Weeks,2015,0.05970149253731343
Paul Barton,2023,0.058823529411764705
Howard Hughes,2016,0.058823529411764705
Howard Hughes,2019,0.058823529411764705
Tony Weeks,2012,0.058823529411764705
Chris Lee,2018,0.058823529411764705
David Lethaby,2013,0.058823529411764705
Douglas Crosby,2021,0.05755395683453238
Brian Puccillo,2023,0.05714285714285714
Paul Sutherland,2014,0.05714285714285714
Michael Bell,2013,0.05660377358490566
Bryan Miner,2021,0.05660377358490566
Mark Collett,2019,0.05649717514124294
Dave Hagen,2021,0.056
Junichiro Kamijo,2022,0.05581395348837209
Robert Basinger,2022,0.05555555555555555
Tony Weeks,2022,0.05555555555555555
Mark Collett,2017,0.05555555555555555
Bryan Miner,2022,0.05511811023622047
Derek Cleary,2020,0.05416666666666667
Michael Tate,2021,0.05405405405405406
Wez Brown,2021,0.05405405405405406
Jacob Montalvo,2022,0.05405405405405406
Chris Crail,2022,0.05405405405405406
Junichiro Kamijo,2020,0.05319148936170213
Michael Bell,2021,0.053156146179401995
Dave Tirelli,2017,0.05263157894736842
Derek Cleary,2014,0.05263157894736842
Barry Oglesby,2014,0.05263157894736842
Sal D'Amato,2019,0.05263157894736842
Lester Griffin,2014,0.05263157894736842
Eric Colón,2019,0.05194805194805195
Howard Hughes,2012,0.05172413793103448
Mark Smith,2013,0.05128205128205128
Douglas Crosby,2013,0.05084745762711865
Chris Lee,2019,0.05063291139240506
Paul Barton,2020,0.05
Dominic Carolei,2021,0.05
Tony Weeks,2020,0.05
Derek Cleary,2016,0.04950495049504951
Marcel Varela,2022,0.04918032786885246
Sal D'Amato,2011,0.04838709677419355
Michael Bell,2019,0.04790419161676647
Lester Griffin,2013,0.047619047619047616
Paul Barton,2022,0.047619047619047616
Lukasz Bosacki,2020,0.047619047619047616
Michael Murtha,2020,0.047619047619047616
Filip Niemkowicz,2022,0.047619047619047616
Chris Lee,2022,0.04712041884816754
Derek Cleary,2018,0.04666666666666667
Vito Paolillo,2022,0.046511627906976744
Glenn Trowbridge,2012,0.046511627906976744
Ben Cartlidge,2022,0.046242774566473986
Dave Tirelli,2018,0.046153846153846156
Jeff Blatnick,2012,0.046153846153846156
Tony Weeks,2017,0.045454545454545456
Cardo Urso,2016,0.045454545454545456
Mark Collett,2020,0.045454545454545456
Anthony Maness,2023,0.045454545454545456
Ben Cartlidge,2014,0.04519774011299435
Ben Cartlidge,2015,0.044444444444444446
Howard Hughes,2014,0.044444444444444446
Darryl Ransom,2020,0.044444444444444446
Junichiro Kamijo,2017,0.043478260869565216
Eric Colón,2015,0.043478260869565216
Ron McCarthy,2016,0.043478260869565216
Ron McCarthy,2020,0.043478260869565216
Chris Lee,2023,0.04310344827586207
Douglas Crosby,2019,0.04285714285714286
Guilherme Bravo,2014,0.0425531914893617
Dave Tirelli,2023,0.0425531914893617
Mark Collett,2014,0.0423728813559322
Brian Puccillo,2019,0.041666666666666664
Jeff Mullen,2016,0.04132231404958678
Michael Bell,2023,0.040892193308550186
Evan Field,2015,0.04081632653061224
Dave Tirelli,2015,0.04081632653061224
Chris Lee,2016,0.04032258064516129
Chris Lee,2011,0.04
Darryl Ransom,2022,0.04
Michael Bell,2020,0.03827751196172249
Greg DiVilbiss,2019,0.03773584905660377
Clemens Werner,2020,0.0375
Richard Bertrand,2015,0.037037037037037035
Bryan Miner,2020,0.037037037037037035
Ron McCarthy,2023,0.036585365853658534
Ron McCarthy,2019,0.03529411764705882
Patricia Morse Jarman,2011,0.034482758620689655
Darryl Ransom,2019,0.034482758620689655
Eric Colón,2014,0.034482758620689655
Junichiro Kamijo,2021,0.033962264150943396
Judge not found,2018,0.03278688524590164
Cezary Wojciechowski,2022,0.03225806451612903
Cezary Wojciechowski,2023,0.03225806451612903
Cardo Urso,2011,0.03225806451612903
Bryan Miner,2019,0.03125
